university_id,university,founded_year,official_website,official_history_url,history_note,metadata_source,history_source,wikidata_qid,refreshed_at
1,Universidad Argentina de la Empresa (UADE),,,,,,,,
2,"Universidad Austral, Campus Pilar and Campus Buenos Aires",,,,,,,,
3,"Universidad Austral, Campus Rosario",,,,,,,,
4,Universidad Torcuato di Tella (UTDT),,,,,,,,
5,Australian National University,,,,,,,,
6,Bond University,,,,,,,,
7,Curtin University,,,,,,,,
8,Deakin University,,,,,,,,
9,Griffith University,,,,,,,,
10,La Trobe University,,,,,,,,
11,Macquarie University,,,,,,,,
12,Monash University,,,,,,,,
13,Queensland University of Technology,,,,,,,,
14,Swinburne University of Technology,,,,,,,,
15,University of Melbourne,,,,,,,,
16,University of New South Wales,,,,,,,,
17,University of Newcastle,,,,,,,,
18,University of Queensland,,,,,,,,
19,University of Sydney,,,,,,,,
20,"University of Technology, Sydney",,,,,,,,
21,University of Western Australia,,,,,,,,
22,Leopold-Franzens-Universität Innsbruck,,,,,,,,
23,Universität Wien,,,,,,,,
24,Wirtschaftsuniversität Wien,,,,,,,,
25,ICHEC - Brussels Management School,,,,,,,,
26,KU Leuven,,,,,,,,
27,Fundação Getulio Vargas (FGV-EAESP),,,,,,,,
28,INSPER,,,,,,,,
29,Concordia University,,,,,,,,
30,Dalhousie University,,,,,,,,
31,HEC Montréal,,,,,,,,
32,McGill University,,,,,,,,
33,Queen's University,,,,,,,,
34,Toronto Metropolitan University,,,,,,,,
35,Simon Fraser University,,,,,,,,
36,Université Laval,,,,,,,,
37,University of Alberta,,,,,,,,
38,University of British Columbia,,,,,,,,
39,University of Calgary,,,,,,,,
40,University of Ottawa,,,,,,,,
41,University of Toronto,,,,,,,,
42,University of Victoria,,,,,,,,
43,Western University,,,,,,,,
44,Pontificia Universidad Católica de Chile,,,,,,,,
45,Universidad de Chile,,,,,,,,
46,"Universidad del Desarrollo (UDD), Campus Santiago",,,,,,,,
47,Fudan University,,,,,,,,
48,Peking University,,,,,,,,
49,Shanghai Jiao Tong University,,,,,,,,
50,Shanghai University of Finance and Economics,,,,,,,,
51,"The Chinese University of Hong Kong, Campus Shenzhen (CUHKSZ)",,,,,,,,
52,Tongji University,,,,,,,,
53,Tsinghua University,,,,,,,,
54,University of International Business and Economics (UIBE),,,,,,,,
55,"University of Nottingham Ningbo, China",,,,,,,,
56,Universidad De Los Andes,,,,,,,,
57,Universidad EAFIT,,,,,,,,
58,American University in Cairo,,,,,,,,
59,Estonian Business School,,,,,,,,
60,University of the Faroe Islands,,,,,,,,
61,Hanken School of Economics,,,,,,,,
62,Aalto University,,,,,,,,
63,Audencia Business School,,,,,,,,
64,Ecole de Management de Lyon,,,,,,,,
65,EDHEC Business School,,,,,,,,
66,EDHEC Business School,,,,,,,,
67,ESSEC Business School,,,,,,,,
68,Grenoble Ecole de Management,,,,,,,,
69,HEC Paris,,,,,,,,
70,IÉSEG School of Management,,,,,,,,
71,INSEEC Grande Ecole,,,,,,,,
72,ISC Paris School of Management,,,,,,,,
73,Kedge Business School,,,,,,,,
74,Kedge Business School,,,,,,,,
75,Paris School of Business,,,,,,,,
76,Rennes School of Business,,,,,,,,
77,Sciences Po (Institut d'Etudes Politiques de Paris),,,,,,,,
78,Sciences Po (Institut d'Etudes Politiques de Paris),,,,,,,,
79,Toulouse Business School,,,,,,,,
80,Université Catholique de Lyon,,,,,,,,
81,Université de Strasbourg,,,,,,,,
82,Université Paris Dauphine,,,,,,,,
83,Université Toulouse Capitole,,,,,,,,
84,Frankfurt School of Finance and Management,,,,,,,,
85,Freie Universität Berlin,,,,,,,,
86,Humboldt-Universität zu Berlin,,,,,,,,
87,Johann Wolfgang Goethe Universität,,,,,,,,
88,Ludwig-Maximilians-Universität München,,,,,,,,
89,Technische Universität München,,,,,,,,
90,Universität Hamburg,,,,,,,,
91,Universität Mannheim,,,,,,,,
92,Universität zu Köln,,,,,,,,
93,Universität Münster,,,,,,,,
94,WHU,,,,,,,,
95,Zeppelin University,,,,,,,,
96,Athens University of Economics & Business - AUEB,,,,,,,,
97,Greenland University,,,,,,,,
98,City University of Hong Kong (CityU),,,,,,,,
99,Hong Kong Baptist University,,,,,,,,
100,The Chinese University of Hong Kong (CUHK),,,,,,,,
101,The Hong Kong Polytechnic University,,,,,,,,
102,The Hong Kong University of Science and Technology (HKUST),,,,,,,,
103,The University of Hong Kong (HKU),,,,,,,,
104,Reykjavik University,,,,,,,,
105,University of Iceland,,,,,,,,
106,Universitas Gadjah Mada,,,,,,,,
107,University College Cork,,,,,,,,
108,University College Dublin,,,,,,,,
109,University of Limerick,,,,,,,,
110,Reichman University (IDC Herzliya),,,,,,,,
